region	model	response	method	formula	r2			
3	Oros	measured	SWSI	GLM	2nd	order	0.767112850684068*(1)+-0.706721710279173*SPEI_36+0.44635132226062*SPI_12+2.02891906621135*SPI_36+0.220039250624447*SPEI_01*SPI_01+-0.455820625417479*SPEI_36*SPI_12/SPEI_12	0.575700770938928
12	Oros	measured	res_perc	GLM	2nd	order	58.9570940072051*(1)+-22.8799315314571*SPEI_36+6.67484557452925*SPI_12+45.3479666780869*SPI_36+6.00254953353698*SPI_12*SPEI_01+-5.30058756267887*SPEI_36*SPI_36	0.640341480599206
21	Oros	measured	res_perc_diff	GLM	2nd	order	0.415779632218881*(1)+2.4275679563637*SPEI_01*SPI_01+2.23287256036416*SPI_01*SPI_12+-0.172564197689562*SPI_36*SPEI_36/SPEI_12+4.19744783086816*SPEI_01*SPI_12/SPEI_12+-0.00334447155741445*SPEI_36/SPEI_12*SPI_36/SPI_12	0.357919725837726
30	Oros	measured	res_perc_logit	GLM	2nd	order	0.567095738894732*(1)+-1.29841727380484*SPEI_36+0.368522778095633*SPI_12+2.40969667359552*SPI_36+0.375412714317737*SPI_36*SPEI_01+-0.285412325276607*SPEI_36*SPI_36	0.558001149369839
39	Castanhao	measured	SWSI	GLM	2nd	order	0.924003490528542*(1)+0.533977128775307*SPEI_01+0.397709960484524*SPEI_12+0.518939938022001*SPEI_36+0.176636642290564*SPEI_01*SPEI_12+0.0133040876988884*SPI_01/SPEI_01*SPI_36/SPI_12	0.511143421472237
48	Castanhao	measured	res_perc	GLM	2nd	order	55.3466842466109*(1)+12.5052238427822*SPEI_36+12.3648205446563*SPI_36/SPEI_36+-3.11541306628324*SPEI_12*SPI_12/SPEI_36+-3.19215022601901*SPI_12/SPEI_36*SPI_12/SPEI_12+10.190121131546*SPI_36/SPEI_36*SPEI_12	0.408166945237106
57	Castanhao	measured	res_perc_diff	GLM	2nd	order	2.94668220757512*(1)+3.46768919566701*SPI_01+-1.14656858984145*SPI_01/SPEI_01+-1.27029080352833*SPI_01/SPEI_01*SPEI_36+-0.790918602397893*SPI_01*SPI_36/SPEI_12+1.41208953303504*SPEI_12*SPI_36/SPEI_36	0.206705024810352
66	Castanhao	measured	res_perc_logit	GLM	2nd	order	-0.0544819353068453*(1)+0.490137577911662*SPEI_36+0.366162484253792*SPI_12/SPEI_36+0.905520188819801*SPI_36/SPEI_36+-0.411841109377817*SPI_12/SPEI_36*SPI_12/SPEI_12+0.431182949343262*SPI_36/SPEI_36*SPEI_12	0.291035148302397
75	Jaguaribe	measured	SWSI	GLM	2nd	order	0.885208290341888*(1)+1.60709362575796*SPEI_36+0.640511488961734*SPI_01+-0.318621367494078*SPI_01*SPI_36/SPEI_36+0.0246118738217688*SPI_36/SPEI_36*SPI_12/SPEI_36+-0.870390852179589*SPI_12*SPI_36/SPI_12	0.452077923636412
84	Jaguaribe	measured	res_perc	GLM	2nd	order	33.4034357456974*(1)+16.327375894445*SPEI_36+16.5977688120461*SPI_12+5.64578974060584*SPEI_36*SPI_12+-13.4704946990317*SPI_12*SPI_12/SPEI_12+0.876575977325664*SPI_12*SPI_12/SPEI_36	0.597065461277918
93	Jaguaribe	measured	res_perc_diff	GLM	2nd	order	0.68860411153534*(1)+2.22244595031493*SPI_01+0.0352780136154725*SPI_36/SPI_12+2.11551861232523*SPI_01*SPI_12+1.0753391249973*SPI_12*SPI_12/SPEI_12+0.286105772617883*SPI_01*SPI_12/SPEI_36	0.380172346957593
102	Jaguaribe	measured	res_perc_logit	GLM	2nd	order	-0.893556515070807*(1)+1.89783976224383*SPEI_36+0.294373863009925*SPEI_36*SPEI_12+-1.02486639354128*SPEI_36*SPI_36/SPEI_36	0.45976770481775
111	Banabuiu	measured	SWSI	GLM	2nd	order	0.796006631118444*(1)+0.77112415608986*SPEI_12+0.704226382189801*SPEI_36+0.419771217988113*SPI_01+0.212157664494934*SPI_01*SPI_12+-0.641560269585985*SPEI_12*SPI_36/SPEI_36	0.459425920008755
120	Banabuiu	measured	res_perc	GLM	2nd	order	44.0398168528971*(1)+3.82022064135406*SPEI_12+15.902803509852*SPEI_36+4.47710109135704*SPI_01*SPI_12+-3.71079992860329*SPEI_36*SPI_01/SPEI_01	0.351132289301178
129	Banabuiu	measured	res_perc_diff	GLM	2nd	order	4.81212242661221*(1)+4.63830305361674*SPI_01+-13.8526495885839*SPI_12+-2.29311848689941*SPI_12*SPEI_36+15.3172365768287*SPEI_12*SPI_36/SPEI_36+-0.341324680025606*SPI_36/SPEI_36*SPI_12/SPEI_36	0.230194282990161
138	Banabuiu	measured	res_perc_logit	GLM	2nd	order	-0.283389349779229*(1)+0.235531485515777*SPEI_12+0.598934904720364*SPEI_36+0.26307025085345*SPI_01*SPI_12	0.235874811413821
147	Salgado	measured	SWSI	GLM	2nd	order	0.790674292528455*(1)+0.408660789674699*SPEI_01+-0.963805933618158*SPEI_36+2.02297129048919*SPI_36+0.0444458850266501*SPEI_12*SPI_01/SPEI_01+0.0975015930115043*SPEI_12*SPI_36/SPEI_36	0.577411450890158
156	Salgado	measured	res_perc	GLM	2nd	order	46.6633037254643*(1)+-42.5476622317161*SPEI_36+6.27361994542771*SPI_12+65.0633507949257*SPI_36+6.18928110964414*SPEI_36*SPI_36+0.0189444911118752*SPI_12/SPEI_36*SPI_36/SPEI_36	0.533489757624078
165	Salgado	measured	res_perc_diff	GLM	2nd	order	-0.377231061800329*(1)+2.00208121092982*SPI_12/SPEI_12+2.45415817226331*SPEI_01*SPI_01+2.59993064911913*SPEI_01*SPI_36+4.20275980113191*SPI_12/SPEI_12*SPEI_01+0.313810997747634*SPI_01*SPI_36/SPEI_12	0.454375255536161
174	Salgado	measured	res_perc_logit	GLM	2nd	order	-0.212068741979955*(1)+-2.65252873590613*SPEI_36+0.404591384273045*SPI_12+4.02567203539895*SPI_36+0.657128165974624*SPEI_36*SPI_36+0.00115390620692418*SPI_12/SPEI_36*SPI_36/SPEI_36	0.512856706755098
