region	sub	area	drains_to
Banabuiu	86	399.0456110682	73
Banabuiu	75	2036.3994279008	72
Banabuiu	74	1199.0807894148	72
Banabuiu	73	1065.5714968568	72
Banabuiu	79	187.43787776	70
Banabuiu	76	512.3620584936	71
Banabuiu	72	402.1883402749	70
Banabuiu	82	129.0462930934	16
Banabuiu	81	1623.2682341307	13
Banabuiu	80	174.6239664072	13
Banabuiu	71	469.7813176705	69
Banabuiu	70	578.7319634402	69
Banabuiu	69	160.5707829703	15
Banabuiu	16	868.1546438834	12
Banabuiu	13	1729.4811415694	12
Banabuiu	15	32.8933590417	14
Banabuiu	12	263.0091754351	11
Banabuiu	14	535.2602426874	10
Banabuiu	11	1678.7114852111	10
Banabuiu	10	199.2798110077	6
Castanhao	24	192.3301675559	22
Castanhao	23	540.6790206236	22
Castanhao	22	1572.1826848884	19
Castanhao	77	1371.4044076376	21
Castanhao	20	1209.0111657222	18
Castanhao	19	531.5505262527	18
Castanhao	21	1092.7139854428	17
Castanhao	18	400.697973847	17
Castanhao	17	730.0689544119	9
Jaguaribe	65	211.9317260097	63
Jaguaribe	64	744.2760343822	62
Jaguaribe	63	1009.8690516142	62
Jaguaribe	62	16.8800197594	7
Jaguaribe	7	270.5015066622	5
Jaguaribe	6	401.9129464784	5
Jaguaribe	89	2142.2721430026	88
Jaguaribe	67	381.2827111966	3
Jaguaribe	28	356.9913583854	3
Jaguaribe	5	323.5310121157	4
Jaguaribe	88	174.5267685966	8
Jaguaribe	9	249.7092750297	8
Jaguaribe	4	707.6405596356	2
Jaguaribe	3	778.0603733536	2
Jaguaribe	8	1540.7310933697	1
Jaguaribe	2	346.7774884638	1
Jaguaribe	1	1139.7010270086	9999
Oros	85	1246.9183118225	53
Oros	56	665.1084177178	52
Oros	83	535.5032372136	54
Oros	53	159.3963094265	51
Oros	52	163.6973125418	51
Oros	87	112.5712642111	49
Oros	54	402.5528320643	50
Oros	51	9.2661912691	50
Oros	50	217.6501971949	48
Oros	49	1426.7828601777	48
Oros	66	938.1856663594	59
Oros	61	927.348110487	60
Oros	48	466.1202001411	47
Oros	78	306.8453879773	44
Oros	60	529.8333649336	58
Oros	59	809.4876654201	58
Oros	47	475.5969866663	45
Oros	46	1820.2152976837	45
Oros	58	253.3136938362	42
Oros	55	551.8729684679	37
Oros	45	39.7863037707	43
Oros	44	412.6533045403	43
Oros	57	296.02403174	35
Oros	43	811.6989156094	41
Oros	42	202.6898341932	41
Oros	38	676.8612529725	36
Oros	37	1151.1217697439	36
Oros	41	729.4047693734	33
Oros	36	1133.9258571005	34
Oros	35	2091.8021798935	34
Oros	68	165.058081889	31
Oros	39	1574.5154323407	31
Oros	34	12.6195157318	32
Oros	33	276.0660813142	32
Oros	40	313.8436303344	30
Oros	32	747.5483606695	30
Oros	31	426.2123991072	30
Oros	30	1737.6700571051	24
Salgado	101	2000.1041454916	100
Salgado	100	534.4664605682	98
Salgado	99	650.6421435861	98
Salgado	98	1515.4515628186	96
Salgado	97	1709.7256865825	96
Salgado	95	144.9138356599	94
Salgado	96	605.6800564054	91
Salgado	94	613.3586834361	91
Salgado	93	324.8917814629	91
Salgado	92	134.6675664681	91
Salgado	91	989.635707392	26
Salgado	27	907.6574540402	26
Salgado	90	651.6465209614	25
Salgado	84	171.1572444988	25
Salgado	29	359.2917065676	25
Salgado	26	138.7660741448	25
Salgado	25	965.1580587773	23
