"id"	"file_name"	"x"	"y"	"name"	"capacity_hm_3"	"start_date"	"end_date"	"n_days"	"n_days_measured"	"region"	"percentage_capacity_reg"
2	"calc_vol_hm3_02_2018.dat"	-38.9218186249912	-5.32797833622791	"BANABUIÚ"	1601	1986-01-01	2015-06-15	10758	10567	"Banabuiu"	0.810923201368794
4	"calc_vol_hm3_02_2018.dat"	-39.0623070634519	-4.97787515372589	"CEDRO"	126	1986-01-01	2015-06-14	10757	9862	"Jaguaribe"	0.174978127734033
6	"calc_vol_hm3_02_2018.dat"	-40.1243661304473	-5.98713471718572	"FAVELAS"	30.1	1989-01-01	2015-06-11	9658	7820	"Oros"	0.0110276203421127
9	"calc_vol_hm3_02_2018.dat"	-38.9249476019699	-6.23986057272212	"ORÓS"	1940	1986-01-01	2015-06-15	10758	10550	"Oros"	0.710750281186
10	"calc_vol_hm3_02_2018.dat"	-39.4028475011227	-5.58105846336957	"PATU"	65.103	1989-01-01	2015-06-15	9662	9453	"Banabuiu"	0.032975348643793
11	"calc_vol_hm3_02_2018.dat"	-38.8796148146483	-5.14966300735675	"PEDRAS BRANCAS"	456	1986-01-01	2015-06-15	10758	10523	"Jaguaribe"	0.633254176561263
14	"calc_vol_hm3_02_2018.dat"	-38.6835749489339	-7.1084597175613	"PRAZERES"	32.5	1989-01-22	2015-06-15	9641	8348	"Salgado"	0.145347537141886
16	"calc_vol_hm3_02_2018.dat"	-39.3140781345788	-5.1984480497795	"QUIXERAMOBIM"	7.88	1986-01-14	2015-06-15	10745	7906	"Banabuiu"	0.00399130220286452
17	"calc_vol_hm3_02_2018.dat"	-38.950217740355	-5.69192350467437	"RIACHO DO SANGUE"	58.43	1986-01-01	2015-06-15	10758	9260	"Castanhao"	0.00864549902862055
24	"calc_vol_hm3_02_2018.dat"	-40.4160450841209	-5.91483342383518	"TRICI"	13	1992-03-01	2015-06-15	8507	8103	"Oros"	0.00476275961619485
25	"calc_vol_hm3_02_2018.dat"	-40.2542747465461	-5.91033857639065	"VÁRZEA DO BOI"	51.91	1986-01-01	2015-06-15	10758	7717	"Oros"	0.0190180655135903
27	"calc_vol_hm3_02_2018.dat"	-40.3562944959323	-6.98368176466646	"POÇO DA PEDRA"	52	1986-01-01	2015-06-15	10758	7524	"Oros"	0.0190510384647794
39	"calc_vol_hm3_02_2018.dat"	-39.6023621399563	-5.195796165617	"SÃO JOSÉ I"	7.67	1992-01-01	2015-06-14	8566	6058	"Banabuiu"	0.00388493501217904
47	"calc_vol_hm3_02_2018.dat"	-38.8937180891265	-7.64099524206281	"ATALHO"	72.552	1992-02-25	2015-06-15	8512	4958	"Salgado"	0.324469369683634
62	"calc_vol_hm3_02_2018.dat"	-38.9566633774811	-6.40188292722033	"LIMA CAMPOS"	5.2	1987-03-11	2015-06-15	10324	2772	"Salgado"	0.0232556059427018
67	"calc_vol_hm3_02_2018.dat"	-38.4612207665818	-5.38392438075669	"POÇO DO BARRO"	52	1986-01-01	2015-06-15	10758	9225	"Jaguaribe"	0.0722131955727756
68	"calc_vol_hm3_02_2018.dat"	-39.4544452568727	-6.08416825577704	"QUINCOÉ"	4.3	1992-07-20	2015-06-15	8366	7127	"Oros"	0.00157537433458753
84	"calc_vol_hm3_02_2018.dat"	-38.6456864154023	-5.26274701099157	"CIPOADA"	86.09	1995-05-12	2015-06-15	7340	5714	"Jaguaribe"	0.119554500131928
85	"calc_vol_hm3_02_2018.dat"	-39.4778170369247	-5.83664707436345	"SÃO JOSÉ II"	21	1993-06-24	2015-06-15	8027	4565	"Banabuiu"	0.0106367190685476
89	"calc_vol_hm3_02_2018.dat"	-40.7111748934408	-6.20127913435798	"PARAMBU"	8.6	1993-07-05	2015-06-15	8016	5790	"Oros"	0.00315074866917505
96	"calc_vol_hm3_02_2018.dat"	-39.7391533394998	-5.50257627772836	"TRAPIÁ II"	18	1997-01-01	2015-06-15	6740	6334	"Banabuiu"	0.00911718777304078
99	"calc_vol_hm3_02_2018.dat"	-39.6484099322699	-5.72901120515905	"SERAFIM DIAS"	40.94	1996-06-12	2015-06-11	6939	6366	"Banabuiu"	0.0207365370793494
119	"calc_vol_hm3_02_2018.dat"	-39.4910865810491	-5.16576836150232	"FOGAREIRO"	118	1996-06-11	2015-06-14	6943	5646	"Banabuiu"	0.0597682309566007
122	"calc_vol_hm3_02_2018.dat"	-39.4307501775976	-6.31103945006682	"TRUSSU"	268.8	1996-07-11	2015-06-14	6913	5730	"Oros"	0.0984792142179366
127	"calc_vol_hm3_02_2018.dat"	-39.9415753269318	-6.94643257148544	"CANOAS"	69.25	1999-04-16	2015-06-15	5905	5416	"Oros"	0.0253708541093456
130	"calc_vol_hm3_02_2018.dat"	-39.720065127842	-5.15740854554249	"VIEIRÃO"	20.7	1998-01-01	2015-06-15	6375	5095	"Banabuiu"	0.0104847659389969
162	"calc_vol_hm3_02_2018.dat"	-39.2391453751555	-6.58338511845961	"UBALDINHO"	31.8	1999-04-07	2015-06-14	5913	5553	"Salgado"	0.142216974803445
167	"calc_vol_hm3_02_2018.dat"	-39.3537533855832	-4.98429656515552	"PIRABIBU"	74	2001-11-01	2015-06-15	4975	4955	"Banabuiu"	0.0374817719558343
