model	name	Y	M	variable	value
eqm_echam_51	Banabuiu	1981	1	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1981	2	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1981	3	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1981	4	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1981	5	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1981	6	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1982	1	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1982	2	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1982	3	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1982	4	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1982	5	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1982	6	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1983	1	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1983	2	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1983	3	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1983	4	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1983	5	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1983	6	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1984	1	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1984	2	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1984	3	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1984	4	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1984	5	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1984	6	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1985	1	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1985	2	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1985	3	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1985	4	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1985	5	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1985	6	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1986	1	res_perc_diff_on_meas	NA
eqm_echam_51	Banabuiu	1986	2	res_perc_diff_on_meas	52.337539520446
eqm_echam_51	Banabuiu	1986	3	res_perc_diff_on_meas	50.6516652295817
eqm_echam_51	Banabuiu	1986	4	res_perc_diff_on_meas	51.8319334038029
eqm_echam_51	Banabuiu	1986	5	res_perc_diff_on_meas	62.1464702375863
eqm_echam_51	Banabuiu	1986	6	res_perc_diff_on_meas	67.3460743031007
eqm_echam_51	Banabuiu	1987	1	res_perc_diff_on_meas	53.236692311341
eqm_echam_51	Banabuiu	1987	2	res_perc_diff_on_meas	57.1930680762472
eqm_echam_51	Banabuiu	1987	3	res_perc_diff_on_meas	54.6554835213136
eqm_echam_51	Banabuiu	1987	4	res_perc_diff_on_meas	60.3194071569572
eqm_echam_51	Banabuiu	1987	5	res_perc_diff_on_meas	68.8400316451353
eqm_echam_51	Banabuiu	1987	6	res_perc_diff_on_meas	77.8800391566364
eqm_echam_51	Banabuiu	1988	1	res_perc_diff_on_meas	40.1790638749828
eqm_echam_51	Banabuiu	1988	2	res_perc_diff_on_meas	48.0744756485962
eqm_echam_51	Banabuiu	1988	3	res_perc_diff_on_meas	50.101737763958
eqm_echam_51	Banabuiu	1988	4	res_perc_diff_on_meas	51.294949416482
eqm_echam_51	Banabuiu	1988	5	res_perc_diff_on_meas	51.5403649533898
eqm_echam_51	Banabuiu	1988	6	res_perc_diff_on_meas	53.4535214683006
eqm_echam_51	Banabuiu	1989	1	res_perc_diff_on_meas	40.0167892411752
eqm_echam_51	Banabuiu	1989	2	res_perc_diff_on_meas	38.7807650963821
eqm_echam_51	Banabuiu	1989	3	res_perc_diff_on_meas	50.6606564915998
eqm_echam_51	Banabuiu	1989	4	res_perc_diff_on_meas	60.6550253117041
eqm_echam_51	Banabuiu	1989	5	res_perc_diff_on_meas	66.5119216582624
eqm_echam_51	Banabuiu	1989	6	res_perc_diff_on_meas	73.0577350793362
eqm_echam_51	Banabuiu	1990	1	res_perc_diff_on_meas	54.1109925556194
eqm_echam_51	Banabuiu	1990	2	res_perc_diff_on_meas	59.4992688224356
eqm_echam_51	Banabuiu	1990	3	res_perc_diff_on_meas	64.6254306755429
eqm_echam_51	Banabuiu	1990	4	res_perc_diff_on_meas	72.1444803420665
eqm_echam_51	Banabuiu	1990	5	res_perc_diff_on_meas	79.955489457476
eqm_echam_51	Banabuiu	1990	6	res_perc_diff_on_meas	84.4188757623195
eqm_echam_51	Banabuiu	1991	1	res_perc_diff_on_meas	42.0345742562895
eqm_echam_51	Banabuiu	1991	2	res_perc_diff_on_meas	54.286198764423
eqm_echam_51	Banabuiu	1991	3	res_perc_diff_on_meas	65.3219977473477
eqm_echam_51	Banabuiu	1991	4	res_perc_diff_on_meas	63.2816110427281
eqm_echam_51	Banabuiu	1991	5	res_perc_diff_on_meas	59.6286110174408
eqm_echam_51	Banabuiu	1991	6	res_perc_diff_on_meas	58.7081019657663
eqm_echam_51	Banabuiu	1992	1	res_perc_diff_on_meas	24.6868617053908
eqm_echam_51	Banabuiu	1992	2	res_perc_diff_on_meas	26.7400443899231
eqm_echam_51	Banabuiu	1992	3	res_perc_diff_on_meas	32.6485245807071
eqm_echam_51	Banabuiu	1992	4	res_perc_diff_on_meas	30.2137493832584
eqm_echam_51	Banabuiu	1992	5	res_perc_diff_on_meas	29.2654110334542
eqm_echam_51	Banabuiu	1992	6	res_perc_diff_on_meas	31.8655959144603
eqm_echam_51	Banabuiu	1993	1	res_perc_diff_on_meas	38.5840581376423
eqm_echam_51	Banabuiu	1993	2	res_perc_diff_on_meas	43.353919655832
eqm_echam_51	Banabuiu	1993	3	res_perc_diff_on_meas	49.5123389666757
eqm_echam_51	Banabuiu	1993	4	res_perc_diff_on_meas	48.0301489787477
eqm_echam_51	Banabuiu	1993	5	res_perc_diff_on_meas	46.9230326379379
eqm_echam_51	Banabuiu	1993	6	res_perc_diff_on_meas	46.0670037221497
eqm_echam_51	Banabuiu	1994	1	res_perc_diff_on_meas	11.178030037697
eqm_echam_51	Banabuiu	1994	2	res_perc_diff_on_meas	16.1582581711285
eqm_echam_51	Banabuiu	1994	3	res_perc_diff_on_meas	24.0528093760795
eqm_echam_51	Banabuiu	1994	4	res_perc_diff_on_meas	40.2093702988777
eqm_echam_51	Banabuiu	1994	5	res_perc_diff_on_meas	43.4917594466639
eqm_echam_51	Banabuiu	1994	6	res_perc_diff_on_meas	52.0134231290509
eqm_echam_51	Banabuiu	1995	1	res_perc_diff_on_meas	25.070945367383
eqm_echam_51	Banabuiu	1995	2	res_perc_diff_on_meas	31.2123055125915
eqm_echam_51	Banabuiu	1995	3	res_perc_diff_on_meas	39.3838877038912
eqm_echam_51	Banabuiu	1995	4	res_perc_diff_on_meas	37.5012466806511
eqm_echam_51	Banabuiu	1995	5	res_perc_diff_on_meas	39.9265549210234
eqm_echam_51	Banabuiu	1995	6	res_perc_diff_on_meas	36.6163725068869
eqm_echam_51	Banabuiu	1996	1	res_perc_diff_on_meas	107.212289061584
eqm_echam_51	Banabuiu	1996	2	res_perc_diff_on_meas	119.207837435218
eqm_echam_51	Banabuiu	1996	3	res_perc_diff_on_meas	114.8599805248
eqm_echam_51	Banabuiu	1996	4	res_perc_diff_on_meas	119.769185837589
eqm_echam_51	Banabuiu	1996	5	res_perc_diff_on_meas	116.737873885717
eqm_echam_51	Banabuiu	1996	6	res_perc_diff_on_meas	115.898518123529
eqm_echam_51	Banabuiu	1997	1	res_perc_diff_on_meas	51.8023677839233
eqm_echam_51	Banabuiu	1997	2	res_perc_diff_on_meas	58.7242189578426
eqm_echam_51	Banabuiu	1997	3	res_perc_diff_on_meas	66.1770982909506
eqm_echam_51	Banabuiu	1997	4	res_perc_diff_on_meas	75.263468485724
eqm_echam_51	Banabuiu	1997	5	res_perc_diff_on_meas	82.9441470636576
eqm_echam_51	Banabuiu	1997	6	res_perc_diff_on_meas	81.816152535282
eqm_echam_51	Banabuiu	1998	1	res_perc_diff_on_meas	56.3928508566346
eqm_echam_51	Banabuiu	1998	2	res_perc_diff_on_meas	61.2799819699298
eqm_echam_51	Banabuiu	1998	3	res_perc_diff_on_meas	63.8844231900994
eqm_echam_51	Banabuiu	1998	4	res_perc_diff_on_meas	59.2810592879197
eqm_echam_51	Banabuiu	1998	5	res_perc_diff_on_meas	54.3254683248702
eqm_echam_51	Banabuiu	1998	6	res_perc_diff_on_meas	48.4080474108669
eqm_echam_51	Banabuiu	1999	1	res_perc_diff_on_meas	21.8873524902659
eqm_echam_51	Banabuiu	1999	2	res_perc_diff_on_meas	28.3180468303564
eqm_echam_51	Banabuiu	1999	3	res_perc_diff_on_meas	34.417590965982
eqm_echam_51	Banabuiu	1999	4	res_perc_diff_on_meas	30.7437836467567
eqm_echam_51	Banabuiu	1999	5	res_perc_diff_on_meas	30.11405725768
eqm_echam_51	Banabuiu	1999	6	res_perc_diff_on_meas	33.2098043545
eqm_echam_51	Banabuiu	2000	1	res_perc_diff_on_meas	14.8512304529507
eqm_echam_51	Banabuiu	2000	2	res_perc_diff_on_meas	22.1627486666334
eqm_echam_51	Banabuiu	2000	3	res_perc_diff_on_meas	24.8701725353291
eqm_echam_51	Banabuiu	2000	4	res_perc_diff_on_meas	33.6923417644022
eqm_echam_51	Banabuiu	2000	5	res_perc_diff_on_meas	38.238080623522
eqm_echam_51	Banabuiu	2000	6	res_perc_diff_on_meas	38.6362860617092
eqm_echam_51	Banabuiu	2001	1	res_perc_diff_on_meas	15.1815178172251
eqm_echam_51	Banabuiu	2001	2	res_perc_diff_on_meas	20.9488199911401
eqm_echam_51	Banabuiu	2001	3	res_perc_diff_on_meas	2.26599542677327
eqm_echam_51	Banabuiu	2001	4	res_perc_diff_on_meas	31.729307662297
eqm_echam_51	Banabuiu	2001	5	res_perc_diff_on_meas	39.2811035351472
eqm_echam_51	Banabuiu	2001	6	res_perc_diff_on_meas	40.428221653665
eqm_echam_51	Banabuiu	2002	1	res_perc_diff_on_meas	18.7146588846059
eqm_echam_51	Banabuiu	2002	2	res_perc_diff_on_meas	25.7113753423868
eqm_echam_51	Banabuiu	2002	3	res_perc_diff_on_meas	33.8698515939205
eqm_echam_51	Banabuiu	2002	4	res_perc_diff_on_meas	45.7770397230905
eqm_echam_51	Banabuiu	2002	5	res_perc_diff_on_meas	39.0288448635971
eqm_echam_51	Banabuiu	2002	6	res_perc_diff_on_meas	32.4114050864007
eqm_echam_51	Banabuiu	2003	1	res_perc_diff_on_meas	34.0645503779632
eqm_echam_51	Banabuiu	2003	2	res_perc_diff_on_meas	33.7501504466207
eqm_echam_51	Banabuiu	2003	3	res_perc_diff_on_meas	39.6033848532231
eqm_echam_51	Banabuiu	2003	4	res_perc_diff_on_meas	43.9903315758746
eqm_echam_51	Banabuiu	2003	5	res_perc_diff_on_meas	36.2459988394173
eqm_echam_51	Banabuiu	2003	6	res_perc_diff_on_meas	31.0864089660741
eqm_echam_51	Banabuiu	2004	1	res_perc_diff_on_meas	41.2144417463674
eqm_echam_51	Banabuiu	2004	2	res_perc_diff_on_meas	49.0862442637982
eqm_echam_51	Banabuiu	2004	3	res_perc_diff_on_meas	48.7149576895342
eqm_echam_51	Banabuiu	2004	4	res_perc_diff_on_meas	47.9634283920664
eqm_echam_51	Banabuiu	2004	5	res_perc_diff_on_meas	50.9544428081515
eqm_echam_51	Banabuiu	2004	6	res_perc_diff_on_meas	41.9520899784645
eqm_echam_51	Banabuiu	2005	1	res_perc_diff_on_meas	89.9310424755003
eqm_echam_51	Banabuiu	2005	2	res_perc_diff_on_meas	95.7779502913934
eqm_echam_51	Banabuiu	2005	3	res_perc_diff_on_meas	97.0722789039546
eqm_echam_51	Banabuiu	2005	4	res_perc_diff_on_meas	97.4594494026373
eqm_echam_51	Banabuiu	2005	5	res_perc_diff_on_meas	93.6909012662598
eqm_echam_51	Banabuiu	2005	6	res_perc_diff_on_meas	87.2341946911487
eqm_echam_51	Banabuiu	2006	1	res_perc_diff_on_meas	60.38386462222
eqm_echam_51	Banabuiu	2006	2	res_perc_diff_on_meas	66.4804139702931
eqm_echam_51	Banabuiu	2006	3	res_perc_diff_on_meas	59.1147418900705
eqm_echam_51	Banabuiu	2006	4	res_perc_diff_on_meas	41.2209221179258
eqm_echam_51	Banabuiu	2006	5	res_perc_diff_on_meas	112.886786937566
eqm_echam_51	Banabuiu	2006	6	res_perc_diff_on_meas	121.318605021191
eqm_echam_51	Banabuiu	2007	1	res_perc_diff_on_meas	50.9726738169827
eqm_echam_51	Banabuiu	2007	2	res_perc_diff_on_meas	57.5102474977083
eqm_echam_51	Banabuiu	2007	3	res_perc_diff_on_meas	57.358495377068
eqm_echam_51	Banabuiu	2007	4	res_perc_diff_on_meas	60.1901140673598
eqm_echam_51	Banabuiu	2007	5	res_perc_diff_on_meas	69.3413207033491
eqm_echam_51	Banabuiu	2007	6	res_perc_diff_on_meas	66.0444693290264
eqm_echam_51	Banabuiu	2008	1	res_perc_diff_on_meas	40.9056049559527
eqm_echam_51	Banabuiu	2008	2	res_perc_diff_on_meas	41.708510609751
eqm_echam_51	Banabuiu	2008	3	res_perc_diff_on_meas	61.0656075049996
eqm_echam_51	Banabuiu	2008	4	res_perc_diff_on_meas	70.3626531363878
eqm_echam_51	Banabuiu	2008	5	res_perc_diff_on_meas	75.6219814432327
eqm_echam_51	Banabuiu	2008	6	res_perc_diff_on_meas	85.0776433838523
eqm_echam_51	Banabuiu	2009	1	res_perc_diff_on_meas	54.944150243743
eqm_echam_51	Banabuiu	2009	2	res_perc_diff_on_meas	46.3347448260852
eqm_echam_51	Banabuiu	2009	3	res_perc_diff_on_meas	54.5217208212229
eqm_echam_51	Banabuiu	2009	4	res_perc_diff_on_meas	55.9556547742688
eqm_echam_51	Banabuiu	2009	5	res_perc_diff_on_meas	61.1651364543712
eqm_echam_51	Banabuiu	2009	6	res_perc_diff_on_meas	59.3833454896705
eqm_echam_51	Banabuiu	2010	1	res_perc_diff_on_meas	76.7215533102437
eqm_echam_51	Banabuiu	2010	2	res_perc_diff_on_meas	68.8911843646912
eqm_echam_51	Banabuiu	2010	3	res_perc_diff_on_meas	59.474643792472
eqm_echam_51	Banabuiu	2010	4	res_perc_diff_on_meas	68.7881413018222
eqm_echam_51	Banabuiu	2010	5	res_perc_diff_on_meas	74.2045236681206
eqm_echam_51	Banabuiu	2010	6	res_perc_diff_on_meas	68.8435053517281
eqm_echam_51	Banabuiu	2011	1	res_perc_diff_on_meas	62.3760451242362
eqm_echam_51	Banabuiu	2011	2	res_perc_diff_on_meas	66.4096875914324
eqm_echam_51	Banabuiu	2011	3	res_perc_diff_on_meas	73.0522935375529
eqm_echam_51	Banabuiu	2011	4	res_perc_diff_on_meas	67.0147349139333
eqm_echam_51	Banabuiu	2011	5	res_perc_diff_on_meas	67.0664544438067
eqm_echam_51	Banabuiu	2011	6	res_perc_diff_on_meas	70.76479660239
eqm_echam_51	Banabuiu	2012	1	res_perc_diff_on_meas	79.9811027538405
eqm_echam_51	Banabuiu	2012	2	res_perc_diff_on_meas	84.3159998279611
eqm_echam_51	Banabuiu	2012	3	res_perc_diff_on_meas	95.7088023203172
eqm_echam_51	Banabuiu	2012	4	res_perc_diff_on_meas	101.954052580609
eqm_echam_51	Banabuiu	2012	5	res_perc_diff_on_meas	103.966425866903
eqm_echam_51	Banabuiu	2012	6	res_perc_diff_on_meas	97.6954028533854
eqm_echam_51	Banabuiu	2013	1	res_perc_diff_on_meas	48.4475025117819
eqm_echam_51	Banabuiu	2013	2	res_perc_diff_on_meas	49.6979694195085
eqm_echam_51	Banabuiu	2013	3	res_perc_diff_on_meas	46.1228999192182
eqm_echam_51	Banabuiu	2013	4	res_perc_diff_on_meas	52.5069006664147
eqm_echam_51	Banabuiu	2013	5	res_perc_diff_on_meas	44.2057484367279
eqm_echam_51	Banabuiu	2013	6	res_perc_diff_on_meas	44.4113678617139
eqm_echam_51	Banabuiu	2014	1	res_perc_diff_on_meas	26.4832164971589
eqm_echam_51	Banabuiu	2014	2	res_perc_diff_on_meas	31.4484440291213
eqm_echam_51	Banabuiu	2014	3	res_perc_diff_on_meas	42.0180902975867
eqm_echam_51	Banabuiu	2014	4	res_perc_diff_on_meas	45.2292975335419
eqm_echam_51	Banabuiu	2014	5	res_perc_diff_on_meas	61.3289499097113
eqm_echam_51	Banabuiu	2014	6	res_perc_diff_on_meas	63.5195914424219
eqm_echam_51	Castanhao	1981	1	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1981	2	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1981	3	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1981	4	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1981	5	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1981	6	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1982	1	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1982	2	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1982	3	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1982	4	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1982	5	res_perc_diff_on_meas	NA
eqm_echam_51	Castanhao	1982	6	res_perc_diff_on_meas	NA
