model	name	Y	M	variable	value
measured	Banabuiu	1981	1	res_perc_diff_on_meas	NA
measured	Banabuiu	1981	2	res_perc_diff_on_meas	NA
measured	Banabuiu	1981	3	res_perc_diff_on_meas	NA
measured	Banabuiu	1981	4	res_perc_diff_on_meas	NA
measured	Banabuiu	1981	5	res_perc_diff_on_meas	NA
measured	Banabuiu	1981	6	res_perc_diff_on_meas	NA
measured	Banabuiu	1982	1	res_perc_diff_on_meas	NA
measured	Banabuiu	1982	2	res_perc_diff_on_meas	NA
measured	Banabuiu	1982	3	res_perc_diff_on_meas	NA
measured	Banabuiu	1982	4	res_perc_diff_on_meas	NA
measured	Banabuiu	1982	5	res_perc_diff_on_meas	NA
measured	Banabuiu	1982	6	res_perc_diff_on_meas	NA
measured	Banabuiu	1983	1	res_perc_diff_on_meas	NA
measured	Banabuiu	1983	2	res_perc_diff_on_meas	NA
measured	Banabuiu	1983	3	res_perc_diff_on_meas	NA
measured	Banabuiu	1983	4	res_perc_diff_on_meas	NA
measured	Banabuiu	1983	5	res_perc_diff_on_meas	NA
measured	Banabuiu	1983	6	res_perc_diff_on_meas	NA
measured	Banabuiu	1984	1	res_perc_diff_on_meas	NA
measured	Banabuiu	1984	2	res_perc_diff_on_meas	NA
measured	Banabuiu	1984	3	res_perc_diff_on_meas	NA
measured	Banabuiu	1984	4	res_perc_diff_on_meas	NA
measured	Banabuiu	1984	5	res_perc_diff_on_meas	NA
measured	Banabuiu	1984	6	res_perc_diff_on_meas	NA
measured	Banabuiu	1985	1	res_perc_diff_on_meas	NA
measured	Banabuiu	1985	2	res_perc_diff_on_meas	NA
measured	Banabuiu	1985	3	res_perc_diff_on_meas	NA
measured	Banabuiu	1985	4	res_perc_diff_on_meas	NA
measured	Banabuiu	1985	5	res_perc_diff_on_meas	NA
measured	Banabuiu	1985	6	res_perc_diff_on_meas	NA
measured	Banabuiu	1986	1	res_perc_diff_on_meas	NA
measured	Banabuiu	1986	2	res_perc_diff_on_meas	51.6675744092644
measured	Banabuiu	1986	3	res_perc_diff_on_meas	57.3691611055836
measured	Banabuiu	1986	4	res_perc_diff_on_meas	62.1937416832418
